threshold_posi,threshold_neg,id,F1,Balanced Accuracy
0.8,-0.2,147,0.714913121941653,0.7825
0.85,-0.2,148,0.70955692558304,0.7775
0.9,-0.2,149,,0.62375
0.95,-0.2,150,,0.62375
0.25,-0.25,151,0.651489764063583,0.74375
0.3,-0.25,152,0.651489764063583,0.74375
0.35,-0.25,153,0.686214302493372,0.7675
0.4,-0.25,154,0.686214302493372,0.7675
0.45,-0.25,155,0.701474420721232,0.7775
0.5,-0.25,156,0.701474420721232,0.7775
0.55,-0.25,157,0.714646501343142,0.78625
0.6,-0.25,158,0.714646501343142,0.78625
0.65,-0.25,159,0.713766096119037,0.78375
0.7,-0.25,160,0.711125539529729,0.78125
0.75,-0.25,161,0.711125539529729,0.78125
0.8,-0.25,162,0.711125539529729,0.78125
0.85,-0.25,163,0.705709895420221,0.77625
0.9,-0.25,164,,0.6225
0.95,-0.25,165,,0.6225
0.25,-0.3,166,0.651489764063583,0.74375
0.3,-0.3,167,0.651489764063583,0.74375
0.35,-0.3,168,0.686214302493372,0.7675
0.4,-0.3,169,0.686214302493372,0.7675
0.45,-0.3,170,0.701474420721232,0.7775
0.5,-0.3,171,0.701474420721232,0.7775
0.55,-0.3,172,0.714646501343142,0.78625
0.6,-0.3,173,0.714646501343142,0.78625
0.65,-0.3,174,0.713766096119037,0.78375
0.7,-0.3,175,0.711125539529729,0.78125
0.75,-0.3,176,0.711125539529729,0.78125
0.8,-0.3,177,0.711125539529729,0.78125
0.85,-0.3,178,0.705709895420221,0.77625
0.9,-0.3,179,,0.6225
0.95,-0.3,180,,0.6225
0.25,-0.35,181,0.641764798879115,0.7375
0.3,-0.35,182,0.641764798879115,0.7375
0.35,-0.35,183,0.676282887873543,0.76125
0.4,-0.35,184,0.676282887873543,0.76125
0.45,-0.35,185,0.691519093418864,0.77125
0.5,-0.35,186,0.691519093418864,0.77125
0.55,-0.35,187,0.704723976644784,0.78
0.6,-0.35,188,0.704723976644784,0.78
0.65,-0.35,189,0.703928635583902,0.7775
0.7,-0.35,190,0.701325723280117,0.775
0.75,-0.35,191,0.701325723280117,0.775
0.8,-0.35,192,0.701325723280117,0.775
0.85,-0.35,193,0.695982070553959,0.77
0.9,-0.35,194,,0.61625
0.95,-0.35,195,,0.61625
0.25,-0.4,196,0.641764798879115,0.7375
